City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
209,Acari,PE,2022-01-22 21:26:34,-15.4311,-74.6158,78.55,71,72,11.3
210,Beloha,MG,2022-01-22 21:26:34,-25.1667,45.05,76.89,86,97,18.43
211,Lompoc,US,2022-01-22 21:21:40,34.6391,-120.4579,71.91,39,0,8.05
212,Rundu,NA,2022-01-22 21:26:35,-17.9333,19.7667,70.68,39,71,9.91
213,Port Elizabeth,ZA,2022-01-22 21:26:35,-33.918,25.5701,74.1,94,20,11.5
214,Chicama,PE,2022-01-22 21:26:36,-7.8447,-79.1469,66.74,60,26,11.77
215,Sorland,NO,2022-01-22 21:26:36,67.667,12.6934,44.8,84,100,48.74
216,Mount Gambier,AU,2022-01-22 21:26:36,-37.8333,140.7667,69.71,56,100,6.91
217,Mahajanga,MG,2022-01-22 21:26:37,-15.7167,46.3167,77.02,94,40,3.44
218,Keuruu,FI,2022-01-22 21:26:37,62.2667,24.7,20.17,94,98,3.76
219,Indramayu,ID,2022-01-22 21:22:37,-6.3264,108.32,77.13,86,100,6.82
220,Cap Malheureux,MU,2022-01-22 21:26:37,-19.9842,57.6142,81.46,84,50,7.0
221,Biak,ID,2022-01-22 21:26:39,-0.9131,122.8766,75.29,82,67,3.2
222,Cockburn Town,TC,2022-01-22 21:22:35,21.4612,-71.1419,78.44,70,23,13.47
223,Redlands,US,2022-01-22 21:26:39,34.0556,-117.1825,69.39,25,0,10.0
224,Methven,NZ,2022-01-22 21:26:39,-43.6333,171.65,57.47,93,96,1.99
225,Mount Darwin,ZW,2022-01-22 21:26:40,-16.7725,31.5838,66.38,75,100,1.68
226,Erenhot,CN,2022-01-22 21:26:40,43.6475,111.9767,6.55,78,84,10.22
227,Chuy,UY,2022-01-22 21:26:40,-33.6971,-53.4616,82.38,73,15,12.91
228,Sistranda,NO,2022-01-22 21:22:14,63.7256,8.834,48.16,78,100,45.37
229,Chapais,CA,2022-01-22 21:26:41,49.7834,-74.8492,4.78,85,100,14.61
230,Chita,RU,2022-01-22 21:25:12,52.0333,113.55,-22.11,76,40,0.0
231,Thompson,CA,2022-01-22 21:26:41,55.7435,-97.8558,-12.84,64,0,11.5
232,Mount Isa,AU,2022-01-22 21:27:41,-20.7333,139.5,76.77,100,40,0.0
233,Margate,GB,2022-01-22 21:27:42,51.3813,1.3862,41.92,84,14,1.01
234,Namibe,AO,2022-01-22 21:27:42,-15.1961,12.1522,73.6,90,100,8.81
235,Richards Bay,ZA,2022-01-22 21:27:42,-28.783,32.0377,70.38,79,97,4.7
236,Lenine,UA,2022-01-22 21:27:43,45.2986,35.7771,32.13,85,100,6.64
237,Kimbe,PG,2022-01-22 21:27:43,-5.5502,150.1429,77.18,91,100,1.7
238,Myrtle Beach,US,2022-01-22 21:24:05,33.6891,-78.8867,38.34,89,100,11.5
239,Inirida,CO,2022-01-22 21:27:44,3.8653,-67.9239,88.05,58,75,1.12
240,Roald,NO,2022-01-22 21:27:44,62.5833,6.1333,48.34,76,40,17.27
241,Nemuro,JP,2022-01-22 21:27:44,43.3236,145.575,22.68,77,35,8.61
242,Aksu,CN,2022-01-22 21:27:45,41.1231,80.2644,24.33,55,62,3.49
243,Caravelas,BR,2022-01-22 21:27:45,-17.7125,-39.2481,77.54,81,14,7.61
244,Arraial Do Cabo,BR,2022-01-22 21:27:45,-22.9661,-42.0278,80.56,83,0,16.11
245,Auki,SB,2022-01-22 21:27:46,-8.7676,160.7034,81.9,80,9,5.53
246,Laguna,US,2022-01-22 21:27:46,38.421,-121.4238,73.35,63,0,1.99
247,Cangucu,BR,2022-01-22 21:27:46,-31.395,-52.6756,76.21,75,66,8.86
248,Goderich,CA,2022-01-22 21:27:47,43.7501,-81.7165,26.91,86,100,20.71
249,Oxapampa,PE,2022-01-22 21:27:47,-10.5775,-75.4017,65.77,89,95,2.24
250,Constantine,DZ,2022-01-22 21:27:47,36.365,6.6147,42.21,87,75,2.3
251,Kulhudhuffushi,MV,2022-01-22 21:27:48,6.6221,73.07,80.85,66,100,7.14
252,Khash,IR,2022-01-22 21:27:48,28.2211,61.2158,34.68,38,0,3.94
253,Yeppoon,AU,2022-01-22 21:27:48,-23.1333,150.7333,73.18,74,2,12.57
254,Longyearbyen,SJ,2022-01-22 21:27:49,78.2186,15.6401,31.84,86,75,12.66
255,Bethel,US,2022-01-22 21:27:49,41.3712,-73.414,29.23,58,0,0.0
256,Sao Felix Do Xingu,BR,2022-01-22 21:27:49,-6.6447,-51.995,82.02,74,35,3.94
257,Rapid Valley,US,2022-01-22 21:27:50,44.0625,-103.1463,50.04,42,100,4.0
258,Yugorsk,RU,2022-01-22 21:27:50,61.3133,63.3319,13.19,98,98,2.06
259,Evangelista,PH,2022-01-22 21:27:50,13.3335,121.0972,74.88,90,100,5.21
260,Sakaiminato,JP,2022-01-22 21:27:50,35.55,133.2333,33.78,93,75,3.44
261,Broome,US,2022-01-22 21:27:51,42.2506,-75.833,24.84,40,0,1.99
262,Loudeac,FR,2022-01-22 21:27:51,48.1783,-2.7543,42.73,93,0,5.84
263,Hervey Bay,AU,2022-01-22 21:27:51,-25.2986,152.8535,70.03,80,16,12.73
264,Chesma,RU,2022-01-22 21:27:52,53.8111,60.6533,-6.63,99,61,2.44
265,Saint George,US,2022-01-22 21:26:33,37.1041,-113.5841,61.27,29,0,4.0
266,Sur,OM,2022-01-22 21:27:52,22.5667,59.5289,65.61,55,0,12.03
267,Krasnoselkup,RU,2022-01-22 21:27:52,65.7,82.4667,5.13,95,100,11.92
268,Coihaique,CL,2022-01-22 21:26:15,-45.5752,-72.0662,57.81,51,75,9.22
269,Tocopilla,CL,2022-01-22 21:27:53,-22.092,-70.1979,71.22,70,48,10.25
270,Opuwo,NA,2022-01-22 21:27:53,-18.0607,13.84,74.05,56,84,4.47
271,Atar,MR,2022-01-22 21:27:54,20.5169,-13.0499,75.92,15,100,9.82
272,Nanfeng,CN,2022-01-22 21:27:54,23.7434,111.7959,62.44,94,99,2.06
273,Novikovo,RU,2022-01-22 21:27:55,51.1537,37.8879,18.7,97,97,5.01
274,Ilulissat,GL,2022-01-22 21:27:55,69.2167,-51.1,3.22,55,40,24.16
275,Mata,PT,2022-01-22 21:27:55,40.683,-7.4592,43.61,75,0,5.14
276,Mocuba,MZ,2022-01-22 21:28:56,-16.8392,36.9856,69.51,98,65,4.72
277,Nacogdoches,US,2022-01-22 21:28:56,31.6002,-94.6335,51.44,32,0,4.61
278,Bengkulu,ID,2022-01-22 21:28:56,-3.8004,102.2655,75.54,90,100,5.21
279,Benguela,AO,2022-01-22 21:28:56,-12.5763,13.4055,76.1,69,46,3.53
280,Belaya Gora,RU,2022-01-22 21:28:57,68.5333,146.4167,-40.95,100,73,3.22
281,Trairi,BR,2022-01-22 21:28:57,-3.2778,-39.2689,79.7,77,46,9.44
282,Toshkivka,UA,2022-01-22 21:28:58,48.7791,38.579,18.36,93,100,2.66
283,Bathsheba,BB,2022-01-22 21:28:58,13.2167,-59.5167,79.41,65,20,16.11
284,Aasiaat,GL,2022-01-22 21:28:58,68.7098,-52.8699,-11.96,95,83,9.55
285,Tangwani,PK,2022-01-22 21:28:58,28.2787,68.9972,46.33,64,0,4.65
286,Adeje,ES,2022-01-22 21:25:53,28.1227,-16.726,63.7,87,20,6.91
287,Kiama,AU,2022-01-22 21:28:59,-34.6833,150.8667,68.58,90,91,3.0
