City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
679,Poum,NC,-20.2333,164.0167,80.26,75,97,8.97,overcast clouds
680,Gitarama,RW,-2.0744,29.7567,65.66,86,100,2.35,light rain
681,Alta Floresta,BR,-9.8756,-56.0861,71.15,96,98,3.6,overcast clouds
682,Chunoyar,RU,57.4467,97.3217,-3.78,100,94,0.51,overcast clouds
683,Alassio,IT,44.0039,8.1671,56.23,82,3,5.99,clear sky
684,Luangwa,ZM,-15.6167,30.4167,71.37,97,90,1.68,moderate rain
685,Correntina,BR,-13.3433,-44.6367,70.74,91,99,3.78,overcast clouds
686,Rawatsar,IN,29.2833,74.3833,56.19,33,0,2.1,clear sky
687,Hualmay,PE,-11.0964,-77.6139,72.86,77,100,9.48,overcast clouds
688,San Andres,CO,12.5847,-81.7006,82.42,69,75,10.36,broken clouds
689,Ambon,ID,-3.6954,128.1814,82.54,74,40,14.97,scattered clouds
690,Carutapera,BR,-1.195,-46.02,74.91,94,100,7.47,moderate rain
691,North Branch,US,45.5113,-92.9802,24.57,71,100,4.36,overcast clouds
692,Guarapuava,BR,-25.3953,-51.4581,64.45,94,92,4.23,overcast clouds
693,Doha,QA,25.2867,51.5333,62.58,63,0,5.75,clear sky
694,Hovd,MN,48.0056,91.6419,-14.03,81,24,1.88,few clouds
695,Homer,US,59.6425,-151.5483,21.78,91,55,3.58,broken clouds
696,Rawson,AR,-43.3002,-65.1023,57.99,48,69,13.4,broken clouds
697,Denia,ES,38.8408,0.1057,58.64,39,0,8.3,clear sky
698,Gamboma,CG,-1.8764,15.8644,78.1,63,92,3.56,overcast clouds
